naam,volledige naam,partij,functie,db-uri,abstract
Aad Wagenaar,Arie Huibrecht Dignus Wagenaar,Anti-Revolutionaire Partij,Tweede Kamer;Tweede Kamer,http://nl.dbpedia.org/resource/Aad_Wagenaar_(politicus),"Arie Huibrecht Dignus (Aad) Wagenaar (Gouda, 4 december 1940) is een Nederlands voormalig politicus voor de Reformatorische Politieke Federatie (RPF) en de Groep Wagenaar.Wagenaar was lid van de eerste twee uit twee personen bestaande RPF-fracties in de Tweede Kamer maar brak een aantal jaren later met de RPF vanwege een conflict met fractieleider Meindert Leerling. Wagenaar was namelijk van mening was dat de RPF zich te veel liet leiden door persoonlijke opvattingen inzake het christelijk geloof. Zelf wenste hij uit te gaan van meer zakelijke staatkundige opvattingen steunend op de reformatorische ideologie. Leerling vond daarentegen dat een tegengesteldheid op het persoonlijke vlak alsmede het opereren van Wagenaar in de Tweede Kamerfractie debet aan de scheuring was. Nadat de RPF op 20 april 1985 het vertrouwen in hem had opgezegd, trad hij op 23 april uit de fractie en ging hij als eenmansfractie verder onder de naam Groep Wagenaar.Hij volgde voor hij Kamerlid werd een officiersopleiding en werd leraar godsdienst en maatschappijleer. Hij brak midden jaren 70 met de ARP vanwege de in zijn ogen te progressieve koers van die partij. In de Kamer was hij onder meer woordvoerder defensie- en buitenlands beleid. Hij stond begripvol tegenover het Zuid-Afrikaanse apartheidsregime en was fel tegenstander van de Nederlandse vredesbeweging. Hij nam als lijsttrekker van AR'85 zonder succes deel aan de Tweede Kamerverkiezingen van 1986. In 1987 werd hij lid van het CDA.Wagenaar is belijdend lidmaat van de Gereformeerde Kerken in Nederland (thans PKN)."
Ada Jansen,Agatha J. Jansen,Anti-Revolutionaire Partij,Secretaris;http://nl.dbpedia.org/resource/CDA-Vrouwenberaad;Lid Tweede Kamer;Secretaris;http://nl.dbpedia.org/resource/CDA-Vrouwenberaad;Lid Tweede Kamer,http://nl.dbpedia.org/resource/Ada_Jansen,"Agatha J. (Ada) Jansen (Nijmegen, 5 juli 1942) is een Nederlands voormalig politica voor het Christen-Democratisch Appèl (CDA). Eind jaren tachtig was ze kortstondig lid van de Tweede Kamer der Staten-Generaal.Opgeleid als politieagente (ze behaalde het politiediploma a) werkte Jansen in de tweede helft van de jaren zestig bij de politie in haar geboortestad Nijmegen. In 1969 nam haar loopbaan een andere wending doordat ze een baan aanvaardde in de zwakzinnigenzorg en een studie begon aan de sociale academie.Ze was afkomstig uit de Anti-Revolutionaire Partij (ARP), een van de drie partijen die later het CDA zouden gaan vormen. Voor laatstgenoemde was ze als politica actief, behalve in de Kamer ook in het CDA-Vrouwenberaad. Ze stond mede aan de wieg van een plaatselijke afdeling in haar toenmalige woonplaats Nunspeet en was in de jaren tachtig ook landelijk secretaris. Van 17 mei 1988 tot 14 september 1989 was ze lid van de Tweede Kamer, waar zij zich vooral toelegde op politiezaken, het minderhedenbeleid (met name dat van de groep van de Chinezen in Nederland) en het emancipatiebeleid. In een vraaggesprek uit die tijd gaf ze aan het als vrouwelijke politicus niet makkelijk te hebben, wat ten koste zou gaan van het politiek bedrijven met andere politici.Naast haar reguliere werkzaamheden vervulde ze allerlei bestuurlijke functies bij sociaal-culturele en op vrouwen gerichte organisaties.Ada Jansen was getrouwd met Dick Baas, oud-wethouder van de gemeente Nunspeet, en tegenwoordig woonachtig in Vianen."
Ali Doelman-Pel,Alida Doelman-Pel,Anti-Revolutionaire Partij,lid Tweede Kamer der Staten-Generaal;lid gemeenteraad Hoogezand-Sappemeer;lid Provinciale Staten Groningen;wethouder Hoogezand-Sappemeer,http://nl.dbpedia.org/resource/Ali_Doelman-Pel,"Alida (Ali) Doelman-Pel (Dordrecht, 9 september 1932) is een voormalig Nederlands politicus namens de Anti-Revolutionaire Partij en na de fusie namens het Christen-Democratisch Appèl en was 12 jaar lid van de Tweede Kamer der Staten-Generaal. Ali Doelman-Pel was van protestantsen huize en ging na de mulo-a in Dordrecht naar de christelijke hogereburgerschool-b in dezelfde plaats. Hierna volgde de een hbo-opleiding maatschappelijk werk aan het Centraal Instituut voor Christelijke Sociale Arbeid tot 1959. Doelman-Pel ging tijdens haar opleiding aan de slag als groepsleidster bij een kindertehuis en werkte van 1956 tot 1960 als maatschappelijk werkster bij de Raad voor de Kinderbescherming in Rotterdam en van 1960 tot 1962 bij het Bureau voor Levens- en Gezinsmoeilijkheden in Den Haag. In 1969 werd ze lid van de ARP, sinds 1970 was ze op provinciaal niveau bestuurlijk betrokken bij de ARP en in 1974 werd ze in de gemeenteraad van Hoogezand-Sappemeer gekozen. In 1978 werd ze daarnaast fractievoorzitter van de CDA-gemeenteraadsfractie en lid van de Provinciale Staten van Groningen, wat ze bleef tot ze in 1982 werd benoemd tot wethouder sociale zaken, minderheden en ouderenbeleid in Hoogezand-Sappemeer. Het gemeenteraadslidmaatschap en wethouderschap legde ze neer toen ze in 1986 lid werd van de Tweede Kamer namens het CDA.Doelman-Pel werd gezien als een bescheiden en rustig Kamerlid, dat op de achtergrond opereerde. In de Kamer fungeerde ze als woordvoerder sociale zekerheid, armoedebestrijding, kinderopvang, adoptie en jeugdhulpverlening van de CDA-Tweede Kamerfractie. Zij hield zich ook bezig met minderhedenbeleid (arbeidsdeelname), luchtvaart en emancipatie. Van 1989 tot 1994 was ze voorzitter van de vaste commissie voor Sociale Zaken en Werkgelegenheid. Van 1990 tot 1997 was ze lid van het Presidium, waarvan de eerste vier jaar als derde ondervoorzitter en de jaren erna als vijfde ondervoorzitter. Als presidiumlid zette zij zich in voor betere ondersteuning van fracties.Ze was fractiesecretaris en penningmeester (1990-1997) en ten slotte zelfs vicefractievoorzitter (1997-1998). In 1996 wenste een deel (45 stemmen) van de Kamer haar als voorzitter, maar het CDA gaf de voorkeur aan zijn eigen oud-fractievoorzitter Bukman (die 85 stemmen behaalde). Op 18 mei 1998 werd Doelman-Pel benoemd tot ridder in de Orde van Oranje-Nassau."
Andries Postma,Andries Postma,Anti-Revolutionaire Partij,Eerste Kamer,http://nl.dbpedia.org/resource/Andries_Postma,"Andries Postma (Stadskanaal, 9 januari 1943) is een Nederlandse rechtsgeleerde en voormalig politicus van het CDA.Aan de Vrije Universiteit Amsterdam (VUA) studeerde hij rechten en geschiedenis. Hij promoveerde in 1977 in de rechten en volgde opleidingen in Engeland. Hij werd hoofddocent staatsrecht en onderwijsrecht aan de Rijksuniversiteit Groningen (RUG). Hij vervulde ook onderwijsopdrachten aan de VUA; aan deze universiteit was hij van 1987 tot 1998 bijzonder hoogleraar onderwijsrecht.Tot 1980 zat hij in de ARP, waarna hij deel uitmaakte van CDA. Hij werd verkozen voor de Eerste Kamer in 1983 en bleef dat tot 1999.Andries Postma is lid van de Gereformeerde Kerken in Nederland (opgegaan in de Protestantse Kerk in Nederland)."
Asje van Dijk,Jan Willem Asje van Dijk,Anti-Revolutionaire Partij,lid Tweede Kamer der Staten-Generaal;lid Gedeputeerde Staten van Zuid-Holland;lid Provinciale Staten van Zuid-Holland;burgemeester van Barneveld,http://nl.dbpedia.org/resource/Asje_van_Dijk,"Jan Willem Asje van Dijk (Rijssen, 18 april 1955) is een Nederlands politicus van het CDA.Van Dijk is een in Twente geboren politicoloog die tijdens zijn studie actief was in de ARJOS, de jongerenvereniging van de ARP.Hij was beleidsambtenaar technologiebeleid bij Economische Zaken en daarnaast in deeltijd universitair docent in Rotterdam en Amsterdam. Hij was één jaar woordvoerder technologiebeleid van het CDA in de Tweede Kamer. Van Dijk kwam in 1994 op de 60e en dus onverkiesbare plaats op de kandidatenlijst bij de Tweede Kamerverkiezingen 1994. Na enkele jaren bij een organisatiebureau te hebben gewerkt, keerde hij in 2003 terug in de politiek. Ditmaal als gedeputeerde van onder meer economische zaken en verkeer van Zuid-Holland. Hij bleef dat acht jaar met een onderbreking tussen 11 juli 2007 en 16 januari 2008 vanwege een hartoperatie die met complicaties gepaard ging. Op 26 mei 2011 werd Van Dijk onderscheiden tot Ridder in de Orde van Oranje-Nassau. In december 2011 werd hij benoemd tot burgemeester van Barneveld."
Bert de Vries,Berend de Vries,Anti-Revolutionaire Partij,"Lid Tweede Kamer;minister van Sociale Zaken en Werkgelegenheid;minister van Landbouw, Natuurbeheer en Visserij;voorzitter CDA",http://nl.dbpedia.org/resource/Bert_de_Vries_(CDA),"Berend (Bert) de Vries (Groningen, 29 maart 1938) is een voormalig Nederlands politicus. Hij is vooral bekend als fractievoorzitter van het CDA halverwege de jaren 80 en minister van Sociale Zaken in het Kabinet-Lubbers III. In september 1990 was hij bovendien acht dagen interim minister van Landbouw, Natuurbeheer en Visserij. Hij had als bijnaam ""De Stofjas"" vanwege zijn saaie imago."
Bob Goudzwaard,Bob Goudzwaard,Anti-Revolutionaire Partij,Tweede Kamerlid ARP,http://nl.dbpedia.org/resource/Bob_Goudzwaard,"Bob Goudzwaard (Delft, 4 maart 1934) is een Nederlandse econoom en emeritus hoogleraar van de Vrije Universiteit van Amsterdam, die belangrijke inhoudelijke bijdragen heeft geleverd aan christelijk-sociale bewegingen in de ARP, het CDA en de EVP."
Gerrit Terpstra,Gerrit Heert Terpstra,Anti-Revolutionaire Partij,Lid Tweede Kamer;Lid Eerste Kamer;Lid Provinciale Staten Utrecht,http://nl.dbpedia.org/resource/Gerrit_Heert_Terpstra,"Gerrit Heert Terpstra (Buitenpost, 4 juni 1940) is een Nederlands politicus voor het Christen-Democratisch Appèl. Sinds 10 juni 2003 is hij lid van de CDA-fractie in de Eerste Kamer. Hij was in de periode 1986-1998 lid van de Tweede Kamer en was voor de Tweede Kamerverkiezingen 1998 nummer 34 op de CDA-kandidatenlijst en werd niet herkozen. In de periode 1999-2003 lid van de Provinciale Staten Utrecht.Daarvoor was de heer Terpstra bestuurder van het Christelijk Nationaal Vakverbond. In de Eerste Kamer houdt hij zich bezig met Financiën, Economische Zaken en Landbouw, Natuur en Voedselkwaliteit."
Hannie van Leeuwen,Johanna van Leeuwen,Anti-Revolutionaire Partij,Wethouder van Zoetermeer;Burgemeester van Nootdorp;Burgemeester van Hazerswoude;Lid Tweede Kamer;Lid partijbestuur;Lid Eerste Kamer;Lid gemeenteraad van Zoetermeer,http://nl.dbpedia.org/resource/Hannie_van_Leeuwen,"Johanna (Hannie) van Leeuwen (Delft, 18 januari 1926) is een Nederlands politica. Ze is voor het Christen-Democratisch Appèl (CDA) lid van de Eerste en Tweede Kamer geweest. Tevens was ze wethouder en waarnemend burgemeester. Met 81 jaar was ze op het moment van haar vertrek uit de Eerste Kamer in 2007 de oudste afgevaardigde in het Nederlands parlement."
Hans de Boer,Hans Andries  de Boer,Anti-Revolutionaire Partij,"lid Tweede Kamer;lid Provinciale Staten van Noord-Holland;lid gemeenteraad Velsen;wethouder Velsen;staatssecretaris van Cultuur, Recreatie en Maatschappelijk werk;minister van Cultuur, Recreatie en Maatschappelijk werk;burgemeester van Haarlemmermeer",http://nl.dbpedia.org/resource/Hans_de_Boer_(politicus),"Hans Andries (Hans) de Boer (Velsen, 30 mei 1937) is een voormalig Nederlands politicus en minister.De gereformeerde De Boer werd geboren te Velsen. In 1971 werd hij lid van de Tweede Kamer voor de Anti-Revolutionaire Partij (ARP) en vanaf 1980 was hij kamerlid voor het Christen-Democratisch Appèl (CDA). Hij behoorde tot de zogenaamde loyalisten, die in de periode 1977-1981 het regeerakkoord met de VVD niet ondersteunden, maar gedoogden. Van 1981 tot 1982 was hij eerst staatssecretaris in het kabinet-Van Agt II, in 1982 werd hij minister van Cultuur, Recreatie en Maatschappelijk Werk (CRM) in het kabinet-Van Agt III, een post die hij vanwege hartklachten moest opgeven. Hij keerde korte tijd terug naar de Tweede Kamer en werd daarna burgemeester van de gemeente Haarlemmermeer. Van 1986 tot 1995 was hij ten slotte secretaris-generaal op het ministerie van Welzijn, Volksgezondheid en Cultuur."
