naam, type, uri, functie
dr. E.B. van Apeldoorn,opleiding,https://www.eerstekamer.nl/persoon/dr_e_b_van_apeldoorn_sp#1,"politieke wetenschappen, York University, North York, Ontario (Canada), van januari 1994 tot juni 1994"
dr. E.B. van Apeldoorn,opleiding,https://www.eerstekamer.nl/persoon/dr_e_b_van_apeldoorn_sp#2,"studie University of Exeter (VK), van januari 1992 tot juni 1992"
dr. E.B. van Apeldoorn,opleiding,https://www.eerstekamer.nl/persoon/dr_e_b_van_apeldoorn_sp#3,"politicologie: internationale betrekkingen, Universiteit van Amsterdam, van 1988 tot augustus 1994"
dr. E.B. van Apeldoorn,opleiding,https://www.eerstekamer.nl/persoon/dr_e_b_van_apeldoorn_sp#4,"\"H.N. Werkman College\" te Groningen, van 1982 tot 1988"
dr. E.B. van Apeldoorn,opleiding,https://www.eerstekamer.nl/persoon/dr_e_b_van_apeldoorn_sp#5,"politieke en sociale wetenschappen (Ph.D), Europees Universtiteits Instituut te Florence, januari 1999"
dr. E.B. van Apeldoorn,loopbaan,https://www.eerstekamer.nl/persoon/dr_e_b_van_apeldoorn_sp#6,"opleidingsdirecteur Bachelor en Master politicologie, Vrije Universiteit te Amsterdam, vanaf september 2014"
dr. E.B. van Apeldoorn,loopbaan,https://www.eerstekamer.nl/persoon/dr_e_b_van_apeldoorn_sp#7,"universitair hoofddocent internationale betrekkingen, Vrije Universiteit te Amsterdam, vanaf januari 2006"
dr. E.B. van Apeldoorn,loopbaan,https://www.eerstekamer.nl/persoon/dr_e_b_van_apeldoorn_sp#8,"universitair docent internationale betrekkingen, Vrije Universiteit te Amsterdam, van januari 2000 tot januari 2006"
dr. E.B. van Apeldoorn,loopbaan,https://www.eerstekamer.nl/persoon/dr_e_b_van_apeldoorn_sp#9,"postdoctoraal fellow Max Planck Instituut voor Maatschappijstudies te Keulen, van januari 1998 tot januari 2000"
dr. E.B. van Apeldoorn,loopbaan,https://www.eerstekamer.nl/persoon/dr_e_b_van_apeldoorn_sp#10,"onderzoeksassistent van prof. C. Crouch, Europees Universiteits Instituut te Florence, van maart 1998 tot juli 1998"
dr. E.B. van Apeldoorn,loopbaan,https://www.eerstekamer.nl/persoon/dr_e_b_van_apeldoorn_sp#11,"wetenschappelijk onderzoeker Robert Schuman Center, Europees Universiteits Instituut te Florence, van oktober 1997 tot december 1997"
dr. E.B. van Apeldoorn,loopbaan,https://www.eerstekamer.nl/persoon/dr_e_b_van_apeldoorn_sp#12,"wetenschappelijke onderzoeker, Europees Universiteits Instituut te Florence, van 1994 tot 1998"
dr. E.B. van Apeldoorn,nevenfuncties,https://www.eerstekamer.nl/persoon/dr_e_b_van_apeldoorn_sp#13,"extern deskundige Europa project, WRR (Wetenschappelijke Raad voor het Regeringsbeleid), 2006"
dr. E.B. van Apeldoorn,nevenfuncties,https://www.eerstekamer.nl/persoon/dr_e_b_van_apeldoorn_sp#14,"docent zomercursus, University of Victoria, Victoria (B.C., Canada), van januari 1999 tot januari 2000"
J.J. Atsma,opleiding,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#1,"geschiedenis (niet voltooid), Rijksuniversiteit Groningen, van 1974 tot 1978"
J.J. Atsma,opleiding,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#2,"atheneum-a, Chr. Scholengemeenschap \"Ichthus College\" (Drachten) van 1968 tot 1974"
