naam, type, uri, functie
Fleur Agema,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/agema-m-pvv#1,"HAVO 1994"
Fleur Agema,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/agema-m-pvv#2,"Bachelor of Arts, Kunstacademie AKI, Enschede 1999"
Fleur Agema,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/agema-m-pvv#3,"Mechanica, bouwfysica, detailleren, Academie van Bouwkunst, Amsterdam 2000"
Fleur Agema,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/agema-m-pvv#4,"Master of Arts, Architectuur, Academie van Bouwkunst, Amsterdam 2000-2001"
Fleur Agema,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/agema-m-pvv#5,"Master of Arts, MAHKU/Open University, Utrecht 2004"
Fleur Agema,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/agema-m-pvv#6,"NEI Coach 2006"
Fleur Agema,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/agema-m-pvv#7,"Master Trainer 2008"
Fleur Agema,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/agema-m-pvv#8,"Schipper jongerenzeilkamp 1994-1997 (onbezoldigd)"
Fleur Agema,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/agema-m-pvv#9,"Medewerker restaurant 1994-1999 (naast studie)"
Fleur Agema,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/agema-m-pvv#10,"Parttime bedrijfsleider horeca 1997-1999 (naast studie)"
Fleur Agema,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/agema-m-pvv#11,"Ontwerper en projectleider architectenbureau 1999-2003"
Fleur Agema,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/agema-m-pvv#12,"Statenlid Noord-Holland 2003-2007"
Khadija Arib,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/arib-k-pvda#1,"Sociologie, Universiteit van Amsterdam"
Khadija Arib,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/arib-k-pvda#2,"Medewerker ISES (Instituut voor Sociale en Economische Studies), Erasmus Universiteit Rotterdam"
Khadija Arib,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/arib-k-pvda#3,"Waarnemend hoofd en senior beleidsmedewerker, Maatschappelijke Opvang en Gezondheidszorg, gemeente Amsterdam"
Khadija Arib,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/arib-k-pvda#4,"Tweede Kamerlid PvdA 1998-2006 en vanaf 2007"
Tamara van Ark,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/ark-t-van-vvd#1,"Gymnasium, RK Norbertuscollege te Roosendaal, tot 1992"
Tamara van Ark,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/ark-t-van-vvd#2,"Propedeuse Economische-linguïstische studie, HES te Rotterdam (geen diploma behaald)"
Tamara van Ark,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/ark-t-van-vvd#3,"Bestuurskunde, Erasmus Universiteit Roterdam"
